Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
X221372-GM2211127-1-TWE-F-EGG4_S44_L001_R1	X221372-GM2211127-1-TWE-F-EGG4_S44_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	26887012.0	0.0	35-151	49.0	86.92225170633446	147.9828895453314	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221372-GM2211127-1-TWE-F-EGG4_S44_L001_R2	X221372-GM2211127-1-TWE-F-EGG4_S44_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	26887012.0	0.0	35-151	50.0	87.55192866691623	147.96204524325722	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221372-GM2211127-1-TWE-F-EGG4_S44_L002_R1	X221372-GM2211127-1-TWE-F-EGG4_S44_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	27047784.0	0.0	35-151	50.0	87.15128240311468	147.99477735403389	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221372-GM2211127-1-TWE-F-EGG4_S44_L002_R2	X221372-GM2211127-1-TWE-F-EGG4_S44_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	27047784.0	0.0	35-151	50.0	87.51857140739888	147.97577953151355	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221403-GM2211579-1-TWE-M-EGG4_S51_L001_R1	X221403-GM2211579-1-TWE-M-EGG4_S51_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	34484502.0	0.0	35-151	52.0	83.20690328499488	148.1132939950822	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221403-GM2211579-1-TWE-M-EGG4_S51_L001_R2	X221403-GM2211579-1-TWE-M-EGG4_S51_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	34484502.0	0.0	35-151	52.0	83.90280506180109	148.09953877251874	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221403-GM2211579-1-TWE-M-EGG4_S51_L002_R1	X221403-GM2211579-1-TWE-M-EGG4_S51_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	34468672.0	0.0	35-151	52.0	83.43963688774755	148.12395058330068	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221403-GM2211579-1-TWE-M-EGG4_S51_L002_R2	X221403-GM2211579-1-TWE-M-EGG4_S51_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	34468672.0	0.0	35-151	52.0	84.22433024169278	148.11137731096807	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221406-GM2210058-1-TWE-F-EGG4_S39_L001_R1	X221406-GM2210058-1-TWE-F-EGG4_S39_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	29422162.0	0.0	35-151	50.0	85.90663702509634	147.7977731548076	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221406-GM2210058-1-TWE-F-EGG4_S39_L001_R2	X221406-GM2210058-1-TWE-F-EGG4_S39_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	29422162.0	0.0	35-151	50.0	86.45406674296655	147.7820165289009	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221406-GM2210058-1-TWE-F-EGG4_S39_L002_R1	X221406-GM2210058-1-TWE-F-EGG4_S39_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	29585401.0	0.0	35-151	50.0	86.13979515554286	147.80921019120208	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221406-GM2210058-1-TWE-F-EGG4_S39_L002_R2	X221406-GM2210058-1-TWE-F-EGG4_S39_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	29585401.0	0.0	35-151	50.0	86.53015173923083	147.79496387424325	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221416-GM2211270-1-TWE-F-EGG4_S50_L001_R1	X221416-GM2211270-1-TWE-F-EGG4_S50_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	29482706.0	0.0	35-151	50.0	85.78576084541919	148.21726173981452	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221416-GM2211270-1-TWE-F-EGG4_S50_L001_R2	X221416-GM2211270-1-TWE-F-EGG4_S50_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	29482706.0	0.0	35-151	50.0	85.95623248451606	148.2021586824493	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221416-GM2211270-1-TWE-F-EGG4_S50_L002_R1	X221416-GM2211270-1-TWE-F-EGG4_S50_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	29658853.0	0.0	35-151	50.0	86.05778034734296	148.2285459252251	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221416-GM2211270-1-TWE-F-EGG4_S50_L002_R2	X221416-GM2211270-1-TWE-F-EGG4_S50_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	29658853.0	0.0	35-151	50.0	86.16145869055246	148.2151800678199	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221424-GM2123694-1-TWE-F-EGG4_S29_L001_R1	X221424-GM2123694-1-TWE-F-EGG4_S29_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	35119357.0	0.0	35-151	50.0	82.6890384973858	148.2714928408285	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221424-GM2123694-1-TWE-F-EGG4_S29_L001_R2	X221424-GM2123694-1-TWE-F-EGG4_S29_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	35119357.0	0.0	35-151	50.0	83.54979135150295	148.26413009213124	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221424-GM2123694-1-TWE-F-EGG4_S29_L002_R1	X221424-GM2123694-1-TWE-F-EGG4_S29_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	35288877.0	0.0	35-151	50.0	82.88625380218447	148.2781201283339	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221424-GM2123694-1-TWE-F-EGG4_S29_L002_R2	X221424-GM2123694-1-TWE-F-EGG4_S29_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	35288877.0	0.0	35-151	50.0	83.54539996672479	148.27109567697494	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221431-GM2211586-1-TWE-F-EGG4_S63_L001_R1	X221431-GM2211586-1-TWE-F-EGG4_S63_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	23966692.0	0.0	35-151	50.0	86.81378756496845	146.75373764556244	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221431-GM2211586-1-TWE-F-EGG4_S63_L001_R2	X221431-GM2211586-1-TWE-F-EGG4_S63_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	23966692.0	0.0	35-151	50.0	87.04887946344097	146.73978870342222	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221431-GM2211586-1-TWE-F-EGG4_S63_L002_R1	X221431-GM2211586-1-TWE-F-EGG4_S63_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	24110735.0	0.0	35-151	50.0	86.85304309696724	146.77147162871643	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221431-GM2211586-1-TWE-F-EGG4_S63_L002_R2	X221431-GM2211586-1-TWE-F-EGG4_S63_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	24110735.0	0.0	35-151	50.0	87.00301745486529	146.75996165193638	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
